Event Info,Link
"Albany, NY: Oct 20, 4pm. Townsend Park. ",https://www.instagram.com/p/Cyj5ZQYRscN/?igshid=MzRlODBiNWFlZA%3D%3D
"Atlanta, GA: Oct 20, 4pm. 190 Marietta St, NW.",https://www.instagram.com/p/CyjQUPVOdmZ/?igshid=MTc4MmM1YmI2Ng%3D%3D
"Indianapolis, IN: Oct 20, 5:30pm. Monument Circle. ",https://www.instagram.com/mesaiupui/
"Knoxville TN: Oct 20, 6pm. Market Square. ",https://www.facebook.com/story.php?story_fbid=717361577103598&id=100064892854151&mibextid=WC7FNe
"New York, NY: Oct 20, 5pm. New York Public Library steps at Bryant Park. ",https://actionnetwork.org/events/ceasefire-now-rally-for-gaza/?source=IG
"Northampton, MA: Oct 20, 12:30pm. Northampton side of Coolidge Bridge ",https://www.facebook.com/photo/?fbid=741037934835152&set=a.482913970647551
"Pittsburgh, PA: Oct 20, 2pm. University of Pittsburgh, Cathedral of Learning. ",https://www.facebook.com/photo/?fbid=715069617305954&set=a.449866000492985
"Orlando, FL: Oct 20, 3:30pm. Orlando City Hall, 400 S Orange Ave. ",https://www.instagram.com/p/Cyi80SvLn-k/
"Racine, WI: Oct 20, 5pm. MLK Plaza, 909 Dr. Martin Luther King Jr. Drive.",https://racinepeace.wordpress.com/2023/10/16/stand-for-peace-palestine-gaza/
"San Francisco, CA: Oct 20, 1pm-6pm, San Francisco Federal Building, 90 7th St.",https://www.facebook.com/events/300434139514044
"Baltimore, MD: Oct 20, 6pm. Baltimore City Hall",https://www.instagram.com/p/Cyef0eyA9oz
"Chicago, IL: Oct 20, 2:30pm. UChicago Main Quad, Levi Hall.  ",https://www.instagram.com/p/CyjeOBUJd3_/?img_index=1
"Madison, WI: Oct 20, 5pm. Capitol, 2 E Main St.",https://www.instagram.com/p/CykINrRtvTT/
"New Brunswick, NJ: Oct 20, 3pm. Brower Commons, Rutgers University.",https://www.instagram.com/p/CyjL4lvAjd7/
"New York, NY: Oct 20. 1pm. City Hall. ",https://www.instagram.com/p/CyhHUORJxKN/
"Philadelphia, PA: Oct 20. 5:30pm. Iglesias Garden.",https://www.instagram.com/p/CyihTJyO0cJ/?img_index=1
"Brooklyn, NY: Oct 21, 2pm. Bay Ridge, 72nd St & 5th Ave.",https://www.instagram.com/p/CybatbgAh-E/
"Chicago, IL: Oct 21, 1pm. Michigan Ave & Ida B Wells Dr. ",https://twitter.com/uspcn/status/1714327167532667017
"Cleveland, OH: Oct 21, 2pm. Public Square. ",https://www.instagram.com/p/Cyi_qA9A9FC/?utm_source=ig_web_button_share_sheet&igshid=MzRlODBiNWFlZA%3D%3D
"Columbus, OH: Oct 21, 2pm. Ohio Statehouse, 1 Capitol Square. ",https://www.instagram.com/p/CyitENGuTVu/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA%3D%3D
"Corvallis, OR: Oct 21, 12pm. Benton County Courthouse. ",https://www.facebook.com/events/s/stop-the-genocide-stand-for-ga/714696503321766/
"Denver, CO: Oct 21, 3pm. State Capitol, West Steps, 200 E Colfax Ave.  ",https://www.instagram.com/p/CygYOvyLyQ-/?igshid=MTc4MmM1YmI2Ng%3D%3D
"El Paso, TX: Oct 21, 11am. San Jacinto Plaza. ",https://www.instagram.com/p/CygoG0-Javm/
"Frederick, MD: Oct 21, 2:30pm. 1301 W Patrick St.  ",https://www.instagram.com/p/CylV6ocu99O/?igshid=MzRlODBiNWFlZA%3D%3D
"Ft. Lauderdale, FL: Oct 21, 4pm. 299 E Broward Blvd.",https://www.facebook.com/photo/?fbid=656455583285296&set=a.426369766293880
"Greensboro, NC: Oct 21, 4pm. 4203 W Wendover Ave. ",https://www.instagram.com/p/CymBmT2x62V/?igshid=MTc4MmM1YmI2Ng%3D%3D
"Houston, TX: Oct 21, 2pm. City Hall, 901 Bagby St.",https://www.instagram.com/p/CykMTxauBNy/?igshid=MzRlODBiNWFlZA%3D%3D
"Jacksonville, FL: Oct 21, 4pm. City Hall, 117 W Duval St.",https://www.instagram.com/p/CykD_XcuEt5/
"Lawrence, KS: Oct 21, 12pm. Watson Park.",https://www.instagram.com/p/Cyi7sk1A_EV/
"Los Angeles, CA: Oct 21, 12pm. Pershing Square, 532 S Olive St.  ",https://www.instagram.com/p/CyjfAL4Aenz/
"Madison, WI: Oct 21, 1pm. Wisconsin State Capitol next to Forward Statue. ",https://www.facebook.com/MadisonForPalestine/posts/pfbid02ChS6xswvKChrd2breZp4NehERmHnBkMvNZu34XBJWSLnKduAdKxoA1xKQVQfvGAGl
"Philadelphia, PA: Oct 21, 5:30pm. City Hall. ",https://www.instagram.com/p/Cyd1sgRrI7B/?img_index=1
"Providence, RI: Oct 21, 1pm. RI State House Steps. ",https://www.instagram.com/p/CyXG7BXs6TR/?igshid=MzRlODBiNWFlZA%3D%3D
"Salt Lake City, UT: Oct 21, 2pm. Utah State Capitol. ",https://www.instagram.com/p/CyleaORR6qz/?igshid=MTc4MmM1YmI2Ng%3D%3D
"San Diego, CA: Oct 21, 2pm.  333 W Broadway.",https://www.instagram.com/p/CymT6oIA7y_/?igshid=MzRlODBiNWFlZA%3D%3D
"Seattle, WA: Oct 21, 3pm. Westlake Center, 411 Pine Street. ",https://www.instagram.com/p/Cyjy0W3PVWR/?igshid=MzRlODBiNWFlZA%3D%3D
"Tempe, AZ: Oct 21, 10am. ",https://www.instagram.com/p/CyZdXy-vl2j/?igshid=MzRlODBiNWFlZA%3D%3D
"Vancouver, BC: Oct 21, 2pm, Vancouver Art Gallery.",https://twitter.com/VancouverThorn/status/1713620851365707823
"Washington, DC: Oct 21, 12pm. Washington Monument.",https://www.instagram.com/p/CyjAEl3uLPN/?igshid=MzRlODBiNWFlZA%3D%3D
"Dallas, TX: Oct 22, 2pm. City Hall, 1500 Marilla St. ",https://www.facebook.com/photo?fbid=10224781332106172&set=gm.1783013645470970&idorvanity=111623832609968
"Honolulu, HI: Oct 22, 4pm.  Ala Moana Blvd and Atkinson Dr.",https://www.instagram.com/p/CyjRvESPg3z/
"Memphis, TN: Oct 22, 2pm. FedExForum, 191 Beale St",https://www.instagram.com/p/CygKuB5gml2/?igshid=MzRlODBiNWFlZA%3D%3D
"Milwaukee, WI: Oct 22, 11am. Red Arrow Park, 920 N Water St. ",https://www.facebook.com/events/1067768487936486/?ref=newsfeed
"Montreal, QC: Oct 22, 2pm. Dorchester Sq.",https://www.instagram.com/p/CyZJX6RJ8Vv/?img_index=2
"Paterson, NJ: Oct 22, 3pm. 388 Lake View Ave, Clifton.  ",https://www.instagram.com/p/Cyl44atODN8/?igshid=MzRlODBiNWFlZA%3D%3D
"New Haven, CT: Oct 22, 2:30pm. New Haven Green, 250 Temple St. ",https://www.instagram.com/p/CyhXlVsAjHX/?utm_source=ig_web_button_share_sheet&igshid=MzRlODBiNWFlZA%3D%3D
"Raleigh, NC: Oct 22, 3pm. 201 S Blount St.",https://www.instagram.com/p/CymBmT2x62V/?igshid=MTc4MmM1YmI2Ng%3D%3D
"St. Paul, MN: Oct 24, 5pm. Snelling Ave Bridge. ",https://antiwarcommittee.org/event/palestine-bannering/
