Event Info,Link
"A CORUNA, GALIZA, SPAIN – Mon Nov 6, 8 pm, Obelisco. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"A GUARDA, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza Avelono Vicente. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"ALLARIZ, GALIZA, SPAIN – Mon Nov 6, 8 pm, A Barreira. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"AS PONTES, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Hospital. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"BATON ROUGE, LA (US) – Mon Nov 6, 11 am, Louisiana State Capitol. Info: https://www.instagram.com/p/CzHQNQ7viKc/",https://www.instagram.com/p/CzHQNQ7viKc/
"BRANDEIS UNIVERSITY (US) – Mon Nov 6, 6:30 pm, Shapiro Campus Center. Info: https://www.instagram.com/p/CzR0WYVp3fZ/",https://www.instagram.com/p/CzR0WYVp3fZ/
"BURELA, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Concello. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"CANGAS, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Concello. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"CARBALLO GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Concello. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"CASE WESTERN RESERVE UNIVERSITY (US) – Mon Nov 6, 2 pm, Adelbert Hall. Info: https://www.instagram.com/p/CzOns7xusQV/?img_index=2",https://www.instagram.com/p/CzOns7xusQV/?img_index=2
"COLORADO SPRINGS, CO (US) – Sun Nov 5 and Mon Nov 6, 2 pm, Sen Hickenlooper’s office, 102 S Tejon St. Info: https://www.instagram.com/p/CzH_GWnsrwI/?utm_source=ig_web_copy_link",https://www.instagram.com/p/CzH_GWnsrwI/?utm_source=ig_web_copy_link
"COPENHAGEN, DENMARK – Mon Nov 6, 5 pm, Spinderiet i Valbi to Toftegards Plads. Info: https://www.instagram.com/p/CzRlOxrM-fd/",https://www.instagram.com/p/CzRlOxrM-fd/
"COMPOSTELA, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza Roxa. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"CORCUBION, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza Castelao. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"DEN HAAG, NETHERLANDS – Mon Nov 6, 3 pm, Prinses Irenepad 6, Info: https://www.instagram.com/p/CzSBNvGIE6j/",https://www.instagram.com/p/CzSBNvGIE6j/
"FARMINGTON HILLS, MI (US) – Mon Nov 6, 4:30 pm, Rep Haley Stevens’ Office, 30500 Northwestern Hwy. Info: https://www.instagram.com/p/CzRQHdYrsPn/",https://www.instagram.com/p/CzRQHdYrsPn/
"FERROL, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Concello. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"GLASGOW, SCOTLAND – Mon Nov 6, 4:30 pm, Glasgow City. Info: https://www.instagram.com/p/CzSDjixoNAI/",https://www.instagram.com/p/CzSDjixoNAI/
"GOTHENBURG, SWEDEN – Mon Nov 6, 5 pm, Brunnsparken (Vigil). Info: https://www.instagram.com/p/CzQ1aYGs6Tk/?utm_source=ig_web_copy_link",https://www.instagram.com/p/CzQ1aYGs6Tk/?utm_source=ig_web_copy_link
"LUGO, GALIZA, SPAIN – Mon Nov 6, 8 pm, Diante do Concello. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"MONFORTE, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza de Espana. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"NOIA, GALIZA, SPAIN – Mon Nov 6, 8:30 pm, Diante do Concello. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"O BARCO, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Concello. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
"OURENSE, GALIZA, SPAIN – Mon Nov 6, 8 pm, Subdelegacion de Defensa. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"PONTEDEUME, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza do Concello, Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"PONTEVEDRA, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza da Peregrina. Info: https://www.instagram.com/p/CzHiIKaMY72/",https://www.instagram.com/p/CzHiIKaMY72/
"RIBADAVIA, GALIZA, SPAIN – Mon Nov 6, 8 pm, Praza Maior. Info: https://www.instagram.com/p/CzPTIROs7Oi/",https://www.instagram.com/p/CzPTIROs7Oi/
